Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 00:41:02,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,2,0,38,1,134,110,130,0
2022/09/20/ 00:41:03,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:03,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,2,0,37,1,134,110,130,0
2022/09/20/ 00:41:04,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:41:05,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:05,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:41:06,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:41:06,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:06,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:41:07,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:41:07,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:08,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:41:09,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,1,0,39,1,134,110,130,0
2022/09/20/ 00:41:09,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-2,1,0,37,1,134,110,130,0
2022/09/20/ 00:41:10,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,1,0,38,1,134,110,130,0
2022/09/20/ 00:41:10,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,1,0,39,1,134,110,130,0
2022/09/20/ 00:41:11,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-2,1,0,37,1,134,110,130,0
