Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:09:04,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:04,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:05,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:05,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:06,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:06,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:07,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:07,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:08,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:08,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:09,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-1,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:09,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-1,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:10,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-1,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:10,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-1,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:11,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-1,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:11,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:12,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:12,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:13,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:14,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:14,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-4,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:14,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:15,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-4,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:15,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:16,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-5,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:16,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-5,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:17,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-5,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:18,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-6,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:18,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-6,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:19,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-6,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:19,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-6,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:20,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-6,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:20,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-5,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:20,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-5,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:21,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-5,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:22,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-4,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:22,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-4,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-4,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-4,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-4,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:25,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-4,-24,0,37,0,134,88,100,1
