Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:09:58,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:00,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:01,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:01,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
2022/09/17/ 16:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:04,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:05,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:10:05,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-17,0,38,1,134,30,130,0
