Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,39,1,134,105,100,0
2022/09/27/ 21:52:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:08,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,39,1,134,105,100,0
2022/09/27/ 21:52:09,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-29,-23,0,37,1,134,105,100,0
2022/09/27/ 21:52:09,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,39,1,134,105,100,0
2022/09/27/ 21:52:10,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-29,-23,0,37,1,134,105,100,0
2022/09/27/ 21:52:10,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:11,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:11,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:12,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-29,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:12,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:13,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:13,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:14,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-29,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:14,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,37,1,134,105,100,0
