,Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
21122,2022/09/23/ 15:57:34,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21123,2022/09/23/ 15:57:35,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21124,2022/09/23/ 15:57:35,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21125,2022/09/23/ 15:57:36,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21126,2022/09/23/ 15:57:36,:CCF957966B2C,-65,-1,-19,37,0.0,134,90,100,1.0
21127,2022/09/23/ 15:57:36,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21128,2022/09/23/ 15:57:37,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21129,2022/09/23/ 15:57:37,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21130,2022/09/23/ 15:57:38,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21131,2022/09/23/ 15:57:38,:CCF957966B2C,-64,3,-33,37,0.0,134,90,100,1.0
21132,2022/09/23/ 15:57:39,:CCF957966B2C,-62,5,-33,38,0.0,134,90,100,1.0
21133,2022/09/23/ 15:57:39,:CCF957966B2C,-61,5,-33,39,0.0,134,90,100,1.0
21134,2022/09/23/ 15:57:40,:CCF957966B2C,-67,6,-33,37,0.0,134,90,100,1.0
21135,2022/09/23/ 15:57:40,:CCF957966B2C,-62,8,-32,38,0.0,134,90,100,1.0
21136,2022/09/23/ 15:57:40,:CCF957966B2C,-61,8,-33,39,0.0,134,90,100,1.0
21137,2022/09/23/ 15:57:41,:CCF957966B2C,-64,11,-33,37,0.0,134,90,100,1.0
21138,2022/09/23/ 15:57:41,:CCF957966B2C,-63,11,-32,38,0.0,134,90,100,1.0
21139,2022/09/23/ 15:57:42,:CCF957966B2C,-61,12,-33,39,0.0,134,90,100,1.0
21140,2022/09/23/ 15:57:42,:CCF957966B2C,-65,12,-32,37,0.0,134,90,100,1.0
